44,69,91,107,123,142,163,191,242.1,0.0000187,0.00004258,0.00006618,0.00010084,0.00014246,0.00021936,0.00030452,0.00036761,0.00047432,0,17.617,25.426,27.397,29.325,31.252,35.459,42.978,53.14,0
17,33,47,64,86,104.1,125,147,182,0.0000432,0.00008445,0.00011707,0.00015762,0.00018719,0.00023018,0.00032889,0.00048637,0.000666,7.6606,25.409,29.339,33.01,35.022,37.048,37.426,41.021,45.623,0
87,108,123,135,147,159,171,186,212,0.0000417,0.00006944,0.00008918,0.00012631,0.00016329,0.00020857,0.0002778,0.00033829,0.00049176,11.771,23.748,27.16,30.865,31.269,33.203,35.156,37.109,39.073,0
62,85,104,119,133,148,163,184,218,0.0000238,0.00004402,0.00007437,0.00010786,0.00013447,0.0001816,0.00023214,0.00031519,0.00043492,11.802,21.914,31.055,32.844,34.783,36.722,38.68,40.625,42.578,0
60,80,95,109,122,136,149,167,194,0.0000305,0.00006575,0.00009720,0.00014685,0.00020074,0.00025389,0.00036853,0.00044569,0.00064606,2.899,27.347,31.129,32.958,35.033,37.293,41.04,50.918,64.571,0
8,22,37,49,63,77,97,121,162,0.0000256,0.00005898,0.00010321,0.00014425,0.00018392,0.00022295,0.00028639,0.00035838,0.0006417,4.6304,31.888,35.222,37.094,37.786,43.836,50.872,60.724,74.416,0
126,139,147,154,162,169,177,186,201,0.0000380,0.00008153,0.00011399,0.00014807,0.00019402,0.00025319,0.00031514,0.00043233,0.00062633,4.2195,42.949,52.761,60.236,66.415,72.205,77.835,98.09,107.2,0
16,37,98,125,146,163,183,207,251,0.0001053,0.00016758,0.00029125,0.00038412,0.00050378,0.00066874,0.00094504,0.0017344,0.0042823,2.9569,52.748,74.254,92.798,107.55,116.05,128.8,152.86,177.86,0
92,113,127,139,151,161,174,187,207,0.0000376,0.00006515,0.00009019,0.00012087,0.00015141,0.00018327,0.00026959,0.00043449,0.00062728,16.072,28.26,30.865,32.816,33.288,35.159,39.091,41.058,45.089,0
48,90,112,126,138,152,166,180,206,0.0000202,0.00004162,0.00007588,0.00011888,0.00017053,0.00022474,0.00027037,0.00033941,0.00051943,13.505,25.397,30.863,33.009,34.964,36.917,38.916,42.592,44.547,0
73,95,109,123,137,147,161,177,199,0.0000156,0.00003415,0.00004981,7.27E-05,0.00010815,0.0001435,0.00019905,0.00036461,0.00052767,12.161,26.979,29.268,31.199,33.276,35.985,39.004,42.974,48.844,0
3,18,28,40,55,79,111,162,235,0.0000226,0.00004592,0.00008105,0.00012123,0.00016274,0.00019847,0.00022603,0.00031271,0.00039932,5.8767,24.843,32.864,36.784,39.085,42.804,44.892,47.186,58.774,0
98,110,120,128,135,142,150,162,179,0.0000386,0.00008602,0.00012816,0.00015596,0.00019369,0.00023015,0.00029929,0.00039507,0.00067666,2.7357,36.885,42.85,50.457,58.414,62.126,64.356,66.352,70.152,0
2,12,19,26,37,47,65,100,177,0.0000351,0.00007085,0.00009982,0.00013873,0.00018584,0.00024487,0.00031084,0.00049119,0.00077972,0,11.725,17.578,23.438,25.555,29.319,46.277,52.651,55.17,0
82,100,115,127,137,148,159,173,191,0.0000135,0.00003146,0.00005574,9.80E-05,0.00014041,0.00019484,0.00028626,0.0004539,0.00076962,21.489,31.261,34.767,36.757,38.873,40.637,42.973,48.842,54.709,0
5,20,30,43,54,69,90,112,142,0.0000303,0.00006452,0.00008640,0.0001164,0.0001505,0.00021946,0.00030873,0.0003922,0.00056799,2.7344,38.672,42.775,44.744,50.628,56.47,60.157,64.063,67.276,0
72,91,106,118,130,140,154,167,189,0.0000320,0.00007952,0.00010751,0.00014263,0.00019437,0.00025,0.00032642,0.00061757,0.0015912,9.7836,31.002,36.738,38.715,40.641,40.925,43.174,52.4,64.063,0
14,28,40,57,75,94,113,136,167,0.0000376,0.00007567,0.00009824,0.00012888,0.00017301,0.00022016,0.00031028,0.00042133,0.00060064,7.4219,15.235,29.466,40.821,44.924,48.848,52.773,58.671,99.512,0
69.6,89,106,119,130,143,156,173,201,0.0000384,0.00005999,0.00008887,0.00012398,0.00015483,0.00022083,0.00030144,0.00038607,0.00053792,5.8692,25.684,36.942,40.625,41.063,44.809,46.885,50.794,53.878,0
6,17,26,34,45,61,80,106,149.2,0.0000226,0.00005407,0.00008424,0.00012109,0.00016538,0.00021346,0.00031324,0.00047722,0.00072805,5.4688,11.874,29.302,41.974,46.955,54.704,60.631,66.649,85.898,0
63,83,96,109,122,133,145,158,176,0.0000306,0.00006341,0.00008957,0.0001167,0.00014115,0.00018606,0.00025327,0.00035423,0.00060727,4.1993,21.687,34.768,36.72,38.672,42.584,52.415,58.221,79.706,0
18,36,53,70,85,100,115,132,156,0.0000284,0.00005101,0.00009167,0.00012762,0.00017481,0.000226,0.00028408,0.00038317,0.00056681,2.7382,23.734,34.818,39.065,42.582,48.732,56.34,60.795,75.977,0
33,53,69,83,96,108,123,142,164,0.0000192,0.00004063,0.00006596,9.34E-05,0.00013137,0.00018844,0.00029557,0.00044496,0.00088459,2.7382,47.187,52.913,60.682,68.398,70.978,74.112,76.588,82.592,0
0,9,23,31,42,52,66,85,120,0.0000395,0.00008079,0.00011209,0.00015781,0.00020475,0.00025318,0.00032171,0.00046462,0.0010337,2.5391,37.526,47.919,60.412,69.99,75.715,84.737,107.46,154.53,0
120,129,137,144,150,156,162,169,181,0.0000279,0.00005934,0.00009168,0.00010963,0.00014263,0.00017504,0.00021589,0.00029597,0.00044217,7.7977,31.098,35.178,40.846,45.022,48.471,52.357,56.478,66.392,0
64,112,128,139,147,156,163,174,194,0.0000433,0.00007680,0.00011839,0.00015632,0.00018181,0.00021446,0.00026709,0.00037036,0.00049737,13.281,19.729,31.094,37.349,41.216,46.702,50.427,52.566,56.628,0
68,89,103,117,129,143,155,170,194,0.0000306,0.00005081,0.00008018,0.00010334,0.00012822,0.00017334,0.00022866,0.00032635,0.00044396,5.9042,21.62,33.211,39.182,42.88,44.986,48.785,49.342,50.855,0
5,21,32,46,59,73,92,113,142,0.0000282,0.00004962,0.00008167,0.00011713,0.00016452,0.00020391,0.0002453,0.00035178,0.0010016,3.3209,25.25,27.432,31.091,33.945,44.78,52.761,58.594,64.703,0
52,75,94,111,125,141,158,179,207,0.0000353,0.00006270,0.00009040,0.00012062,0.00018398,0.00023907,0.00031415,0.00038544,0.00045423,0,19.57,36.929,39.16,42.79,44.73,46.68,49.346,62.504,0
0,13,23,34,44,57,70,90,129,0.0000217,0.00003538,0.00005740,9.26E-05,0.0001367,0.00017276,0.0002321,0.00032871,0.00046907,2.7344,21.566,42.983,44.891,47.323,50.798,54.501,56.676,60.589,0
72,93,107,119,131,142,154,170,194,0.0000295,0.00005013,0.00008702,0.0001242,0.00018255,0.00024075,0.00032263,0.0004955,0.00088336,17.726,31.561,36.724,42.974,47.204,50.593,54.304,60.186,66.019,0
